;Pos.;Participante;Meio de indicação;% dos votos;Eliminado em;edicao;Porcentagem/ Pontos;Porcentagem/ Votos
0;1;Kleber de Paula;Finalista;68%[1];—;1;;
1;2;Vanessa Pascale;Finalista;21%;—;1;;
2;3;André Carvalho;Finalista;11%;—;1;;
3;4;Sergio Tavares;Líder (André);52%;Semana 9;1;;
4;5;Alessandra Begliomini;Líder (Sergio);73%;Semana 8;1;;
5;6;Estela Padilha;Líder (Vanessa);85%;Semana 7;1;;
6;7;Adriano de Castro;Líder (André);74%;Semana 6;1;;
7;8;Helena Louro;Líder (Kleber);51%;Semana 5;1;;
8;9;Cristiana Mota;Líder (Alessandra);70%;Semana 4;1;;
9;10;Bruno Saladini;Líder (Cristiana);53%;Semana 3;1;;
10;11;Xaiane Dantas;Casa (5 votos);77%;Semana 2;1;;
11;12;Caetano Zonaro;Líder (Sergio);55%;Semana 1;1;;
12;1;Rodrigo Leonel;Finalista;65%[15];—;2;;
13;2;Manuela Saadeh;Finalista;35%[15];—;2;;
14;3;Cida Junqueira;Prova do Líder;59%[16];Semana 10;2;;
15;4;Thyrso Mattos;Líder (Rodrigo);53%[17];Semana 9;2;;
16;5;Tarciana Lima;Líder (Thyrso);70%[18];Semana 8;2;;
17;6;Fabrício Amaral;Casa (3 votos);64%[19];Semana 7;2;;
18;7;Thaís Ventura;Líder (Cida);73%[20];Semana 6;2;;
19;8;Moisés Silva;Líder (Manuela);54%[21];Semana 5;2;;
20;9;Jeferson dos Santos;Casa (3 votos);62%[22];Semana 4;2;;
21;10;Fernando Fernandes;Líder (Cida);77%[23];Semana 3;2;;
22;11;Tina Soares;Casa (8 votos);63%[24];Semana 2;2;;
23;12;Rita Gonçalves;Casa (6 votos);55%[25];Semana 1;2;;
24;1;Dhomini Ferreira;Finalista;51%[22];—;3;;
25;2;Elane Silva;Finalista;49%[22];—;3;;
26;3;Viviane Oliveira;Prova do Líder;59%[23];Semana 11;3;;
27;4;Jean Massumi Hara;Líder (Viviane);67%[24];Semana 10;3;;
28;5;Harry Grossman;Casa (3 votos);67%[25];Semana 9;3;;
29;6;Sabrina Sato;Líder (Elane);60%[26];Semana 8;3;;
30;7;Emilio Rodrigues;Casa (3 votos);76%[27];Semana 7;3;;
31;8;Alan Conceição;Líder (Elane);57%[28];Semana 6;3;;
32;9;Juliana Alves;Líder (Jean Massumi);65%[29];Semana 5;3;;
33;10;Andréa Guerrero;Casa (5 votos);57%[30];Semana 4;3;;
